ID,Name,Birth,Sex,Idsocial
22110005,Ho Ngoc Tuyen,22/07/2004,Nam,5046765
22110006,Nguyen Phuong Uyen,29/11/2004,Nu,3882790
22110007,Nguyen Vo Thao Vy,14/06/2004,Nam,3898013
22110008,Phan Tran Nhat Vy,10/04/2004,Nam,1030755
22110009,Nguyen Ngoc Xuyen,24/02/2004,Nu,3505346
22110010,Luu Huu Phuoc,19/05/2004,Nam,1982911
22110011,Le Quoc An,17/02/2004,Nam,5512644
22110012,Nguyen Tran Thien An,11/03/2004,Nu,8611497
22110013,Tran Vu Hong An,21/11/2004,Nam,2698915
22110014,Bui Thi Ngoc Anh,11/10/2004,Nam,6559168
22110015,Huynh Ngoc Que Anh,01/03/2004,Nu,3402810
22110016,Nguyen Phuc Tai Anh,26/03/2004,Nam,3101584
22110017,Nguyen Quynh Anh,10/04/2004,Nam,1493118
22110018,Pham Thi Duy Anh,02/01/2004,Nu,6894182
22110019,Pham Thi Phuong Anh,20/12/2004,Nam,2887511
22110020,Pham Thi Trang Anh,06/05/2004,Nam,5206453
22110021,Tran Do Van Anh,12/05/2004,Nu,1441073
22110022,Tran Thi Van Anh,03/11/2004,Nam,2442154
22110023,Vo Tung Anh,15/01/2004,Nam,4155746
22110024,Vu Thi Tu Anh,15/07/2004,Nu,9218462
22110025,Do Thi Ngoc Anh,07/09/2004,Nam,3491923
22110026,Nguyen Thai Bao,29/12/2004,Nam,2652417
22110027,Tran Duc Hoang Bao,09/08/2004,Nu,3313348
22110028,Le Thi Thanh Binh,22/02/2004,Nam,3793637
22110029,Nguyen Ngoc Thanh Binh,05/03/2004,Nam,9740891
22110030,Pham Nhu Binh,24/04/2004,Nu,7697471
