ID,NAME,DATE OF BIRTH,SEX,SOCIAL ID
22120258,Le Pham Minh Triet,21/01/2004,Nu,8370511
22120259,Kieu Phuong Tu,02/03/2004,Nam,9224046
22120260,Dang Hoang Minh Tuan,04/03/2004,Nam,5809439
22120261,Nguyen Quoc Tuan,14/03/2004,Nu,3607677
22120262,Nguyen Ngoc Khanh Tuong,03/08/2004,Nam,8992320
22120263,Thai Thi Huynh Tuyen,07/04/2004,Nam,2750422
22120264,Lam My Uyen,18/05/2004,Nu,2379759
22120265,Ngo Thi Uyen,13/12/2004,Nam,7871205
22120266,Le Khanh Vinh,04/11/2004,Nam,7430609
22120267,Thai Minh Vu,02/01/2004,Nu,9089195
22120268,Doan Trieu Vy,05/12/2004,Nam,5410090
22120269,Huynh Thuy Vy,09/10/2004,Nam,6178796
22120270,Le Yen Vy,19/07/2004,Nu,1052443
22120271,Luong Cam Vy,18/06/2004,Nam,2652547
22120272,Nguyen Pham Tuong Vy,24/06/2004,Nam,7262739
22120273,Nguyen Pham Tuong Vy,02/01/2004,Nu,7510026
22120274,Pham Ngoc Thuy Vy,26/03/2004,Nam,3537269
22120275,Tran Thanh Vy,09/10/2004,Nam,4055975
22120276,Hua Kim Yen,24/08/2004,Nu,7060410
22120277,Nguyen Quynh Anh,25/12/2004,Nam,1169885
22120278,Nguyen Thi Kim Anh,09/09/2004,Nam,3008957
22120279,Mai Duc Canh,17/06/2004,Nu,8503925
22170020,Nguyen Thi Thuy Duong,01/05/2004,Nam,4409634
22170021,Phan Thi Ngoc Duyen,29/06/2004,Nam,8251799
22170022,Bui Ngoc Cam Giang,01/08/2004,Nu,6313984
22170023,Nguyen Huu Tuan Hiep,02/09/2004,Nam,8290972
22170024,Tran Thi Hoai My,08/02/2004,Nam,1913528
22170025,Dang Gia Huong,20/07/2004,Nu,5462502
22170026,Le Thai Phuong Khanh,22/08/2004,Nam,9810384
22170027,Phan Dang Khoi,31/05/2004,Nam,6252913
22170028,Nguyen Trong Khuong,07/03/2004,Nu,3516018
22170029,Do Thi Phuong Linh,05/02/2004,Nam,4750001
22170030,Le Hoang Minh,23/08/2004,Nam,7314371
22170031,Duong My Mui,25/12/2004,Nu,8229894
22170032,Ho Thi My My,27/03/2004,Nam,9788567
22170033,Nguyen Thi Thien Nga,13/07/2004,Nam,7673306
22170034,Lai Truc Phuong,29/11/2004,Nu,1955086
22170035,Le Nguyen Cuc Phuong,13/10/2004,Nam,3781196
22170036,Nguyen Thien Quang,17/07/2004,Nam,6666611
22170037,Tran Tu Quyen,18/09/2004,Nu,6173242
22170038,Nguyen Nhu Quynh,14/08/2004,Nam,5452463
22170039,Lam Thi Thu Thao,23/06/2004,Nam,8055699
22170040,Ho Ngoc Thao Tien,30/12/2004,Nu,6773088
22170041,Nguyen Huynh Thuy Tien,14/12/2004,Nam,2740475
22170042,Pham Thanh Toan,18/08/2004,Nam,2413356
22170043,Vo Hoai Nhu Truc,03/10/2004,Nu,2243065
22170044,Le Ngoc Minh Tuyen,17/04/2004,Nam,7670792
22170045,Truong Nhat Uyen,27/06/2004,Nam,7078102
22170046,Ngo Minh Chau,21/02/2004,Nu,7805730
22170047,Duong Tan Dat,20/08/2004,Nam,1345252
22170048,Tran Thi My Dieu,09/05/2004,Nam,5379104
22170049,Do Huy Du,14/04/2004,Nu,3877441
