ID,Name,Birth,Sex,Idsocial
21150034,Nguyen Quynh Giang,23/05/2003,Nam,4662208
21150036,Nguyen Thi Thu Ha,06/12/2003,Nu,8649955
21150038,Tran My Han,12/03/2003,Nam,4240891
21150040,Le Ngoc Thanh Hien,30/08/2003,Nam,6325659
21150042,Le Viet Hien,01/06/2003,Nu,2897949
21150044,Vo Minh Hieu,28/09/2003,Nam,5000730
21150046,Phan My Hue,28/07/2003,Nam,1665888
21150048,Nguyen Thi Kim Huong,26/12/2003,Nu,3058472
21150050,Nguyen Le Hoang Huy,11/11/2003,Nam,6868950
21150052,Tang Giac Huy,23/08/2003,Nam,5794959
21150054,Dao Thi Huyen,25/10/2003,Nu,2694830
21150056,Huynh Tan Thanh Kha,05/10/2003,Nam,3310983
21150058,Tran Van Khai,04/09/2003,Nam,3561838
21150060,Truong Vi Khang,30/10/2003,Nu,3796985
21150062,Dang Dang Khoa,17/04/2003,Nam,5539753
21150064,Nguyen Tran Nhac Khoa,18/03/2003,Nam,3300942
21150066,Ho Le Minh Khue,24/12/2003,Nu,6412820
21150068,Pham Thi Thuy Kieu,01/01/2003,Nam,4706005
21150070,Pham Tran Thien Kim,06/02/2003,Nam,3878874
21150072,Le Vinh Lam,17/04/2003,Nu,6731505
21150074,Nguy Ngoc Hoang Lan,15/08/2003,Nam,1749892
21150076,Dang Thi Yen Linh,29/05/2003,Nam,6837692
21150078,Nguyen Doan Nhu Linh,30/06/2003,Nu,4504613
21110001,Nguyen Hoang Gia Linh,09/08/2003,Nam,7239651
21110004,Nguyen Thi Truc Linh,12/07/2003,Nam,4339550
21110007,Tran Quang Linh,11/07/2003,Nu,5598758
21110010,Nguyen Huu Loc,23/05/2003,Nam,2587232
21110013,Nguyen Cam Ly,08/02/2003,Nam,5454686
21110016,Nguyen Quang Minh,27/05/2003,Nu,4660416
21110019,Ta Duong Anh Minh,13/11/2003,Nam,2499353
21110022,Ngo Quynh My,11/01/2003,Nam,6928825
21110025,Nguyen Mai Nhat My,02/07/2003,Nu,4935881
21110028,Tran Thi Truc My,21/07/2003,Nam,4886718
21110031,Dang Hoang Nam,14/01/2003,Nam,9063093
21110034,Ly Kim Ngan,07/11/2003,Nu,5148855
21110037,Nguyen Huynh Kim Ngan,15/05/2003,Nam,7525081
21110040,Tran Vu Kim Ngan,18/12/2003,Nam,3364640
21110043,Luong Ngoc Nghi,23/04/2003,Nu,9165601
21110046,Nguyen Phuong Nghi,18/02/2003,Nam,7034521
21110049,Tran Phuong Nghi,28/02/2003,Nam,6376942
21110052,Truong Tu Nghi,02/04/2003,Nu,8107546
21110055,Tran Le Thanh Ngoc,16/07/2003,Nam,9538736
21110058,Do Ngoc Phuong Nhi,08/01/2003,Nam,4704195
21110061,Nguyen Ngoc Nhu,04/08/2003,Nu,9875786
21110064,Tran Quynh Nhu,09/03/2003,Nam,9860002
21110067,Van Cam Nhung,16/10/2003,Nam,1216374
21110070,Ha Hoang Oanh,12/07/2003,Nu,1315471
21110073,Bui Tan Phat,04/01/2003,Nam,7419309
21110076,Nguyen Tan Phat,30/05/2003,Nam,6192477
21110079,Quach Hong Phat,05/02/2003,Nu,2978609
21110082,Huynh Yen Phi,27/04/2003,Nam,7099102
21110085,Nguyen Dinh Phi,09/08/2003,Nam,6292278
21110088,Lam Dinh Gia Phu,07/05/2003,Nu,2141377
